Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
HLFQ.S8CSEHQF9,2006.09,2.3,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2006.12,2.3,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2007.03,2.3,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2007.06,2.4,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2007.09,2.2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2007.12,2.2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2008.03,2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2008.06,2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2008.09,2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2008.12,2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2009.03,1.9,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2009.06,1.7,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2009.09,1.7,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2009.12,1.9,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2010.03,2.1,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2010.06,2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2010.09,2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2010.12,1.8,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2011.03,1.9,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2011.06,1.9,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2011.09,1.8,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2011.12,2.5,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2012.03,2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2012.06,2.3,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2012.09,2.2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2012.12,2.2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2013.03,2.2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2013.06,2.4,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2013.09,2.4,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2013.12,2.4,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2014.03,2.2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2014.06,2.4,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2014.09,2.4,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2014.12,2.6,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2015.03,2.6,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2015.06,2.5,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2015.09,2.9,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2015.12,2.7,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2016.03,3.4,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2016.06,3.9,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2016.09,4.1,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2016.12,3.6,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2017.03,3.2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2017.06,3.5,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2017.09,3.4,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2017.12,3.4,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2018.03,2.6,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2018.06,2.9,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2018.09,2.3,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2018.12,2.7,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2019.03,3.1,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2019.06,3.2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2019.09,3,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2019.12,3,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2020.03,3.6,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2020.06,2.9,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2020.09,3.3,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2020.12,2.9,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2021.03,2.9,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2021.06,3.2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2021.09,2.6,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2021.12,2.8,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2022.03,3.1,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2022.06,4.1,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQH1,2004.03,2.8,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2004.06,2.9,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2004.09,2.7,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2004.12,2.6,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2005.03,2.5,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2005.06,3,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2005.09,2.4,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2005.12,2.7,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2006.03,3.3,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2006.06,2.7,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2006.09,3,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2006.12,2.8,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2007.03,3.5,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2007.06,2.9,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2007.09,2.7,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2007.12,2.7,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2008.03,2.8,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2008.06,3.6,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2008.09,3,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2008.12,2.9,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2009.03,3.2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2009.06,2.7,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2009.09,2.7,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2009.12,3.1,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2010.03,3,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2010.06,3.2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2010.09,3.2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2010.12,3.2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2011.03,2.8,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2011.06,2.9,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2011.09,2.6,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2011.12,2.5,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2012.03,2.6,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2012.06,2.7,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2012.09,2.9,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2012.12,2.9,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2013.03,2.9,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2013.06,3.1,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2013.09,2.8,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2013.12,2.7,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2014.03,2.5,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2014.06,2.8,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2014.09,2.7,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2014.12,3.2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2015.03,3.3,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2015.06,3.2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2015.09,2.9,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2015.12,3.4,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2016.03,3.3,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2016.06,3.4,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2016.09,2.4,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2016.12,3.1,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2017.03,3,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2017.06,3.1,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2017.09,3.6,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
HLFQ.S8CSEHQH1,2017.12,3,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Manawatu - Whanganui,Aged 15-19 years,
